name_project,sectors,region_project,budget_project,project_duration_days,عدد المنشآت,عدد العاملين السعوديين,economic_indicator,project_success
يونيون سكوير الخبر – Union Square Al-Khobar                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
مجمع بلاتين سنتر  – Platinun Center Complex                  , تجاري,"منطقة القصيم, بريدة",,793.0,78901.0,59468.0,,0
هيلتون جاردن إن الأحساء –  Hilton Garden Inn™ Al Ahsa                  , تجاري,"المنطقة الشرقية, الأحساء",,1460.0,188521.0,598525.0,,0
لولو مول الأحساء – Lulu Mall Al Ahsa                  , تجاري,"المنطقة الشرقية, الأحساء",,1030.0,188521.0,598525.0,,0
هيلتون® الإحساء – Hilton Al Ahsa                  , تجاري,"المنطقة الشرقية, الأحساء",,1582.0,188521.0,598525.0,,0
مركز الاحساء التجاري – AlAhsa Centre                  , تجاري,الأحساء,,1461.0,368638.28018867923,622155.975,,0
واجهة التسوق –  Shopping Front                  , تجاري,"منطقة الرياض, الرياض",,1095.0,732297.0,1159997.0,,0
برجين سكني وتجاري في الرياض                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
واجهة الأعمال – Business Front                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
برج بنك ساب – SABB Bank Tower                  , تجاري,"منطقة الرياض, الرياض",,730.0,732297.0,1159997.0,,0
ضاحية الاصفر في الأحساء –  Dahyat Al Asfar in Al-Ahsa                  , تجاري,"المنطقة الشرقية, الأحساء",,,188521.0,598525.0,,0
أبتاون مكة – Uptown Makkah                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
افينيو مول ابحر – Avenue Mall Abhor                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مجمع حديقة الورود – Rose Garden complex                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
تطوير حي الدحو – Addoho Quarter Renewal                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
برج شركة المياه الوطنية – NWC Tower                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
كمباوند الغدير – Alghadeer compound                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مجمع مطاعم اورا – Aura Restaurants Complex                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مجمع مطاعم شاندلير – Chandelier Restaurants Complex                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مدينة الأحلام                  , تجاري,"منطقة عسير, خميس مشيط",4000000000.0,,77895.0,53929.0,,0
دبل تري هيلتون بريدة – DoubleTree by Hilton™Buraydah                  , تجاري,"منطقة القصيم, بريدة",,,78901.0,59468.0,,0
مركز المحمل التجاري                  , تجاري,"المنطقة الشرقية, الدمام",,,188521.0,598525.0,,0
مستشفى د.سليمان الحبيب بجدة – Dr. Sulaiman AL-Habib Hospital in Jeddah...                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مركز كليمنصو الطبي الرياض –  CLEMENCEAU MEDICAL CENTER RIYADH                  , تجاري,"منطقة الرياض, الرياض",450000000.0,943.0,732297.0,1159997.0,,1
سنترال بارك الرياض – Riyadh Central Park                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مستشفى الشرق الأوسط الرياض – Middle East Hospital Riyadh                  , تجاري,"منطقة الرياض, الرياض",,1156.0,732297.0,1159997.0,,0
توسعة مستشفى الرعايه بروكير الخبر – Procare Hospital Expansion...                  , تجاري,"المنطقة الشرقية, الخبر",100000000.0,578.0,188521.0,598525.0,,1
مستشفى ميديسينا جدة –  MEDICENA HOSPITAL JEDDAH                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مستشفى المواساة بالخبر – Mouwasat Hospital Al Khobar                  , تجاري,"المنطقة الشرقية, الخبر",440000000.0,1339.0,188521.0,598525.0,,1
مدينة البترجي الطبية في الدمام – THE BATTERJEE MEDICAL CITY IN DAMMA...                  , تجاري,"المنطقة الشرقية, الدمام",4000000000.0,761.0,188521.0,598525.0,,1
توسعة غرناطة مول – Granada Mall Extension                  , تجاري,"منطقة الرياض, الرياض",336000000.0,,732297.0,1159997.0,,1
مجمع العضيب – Alodhaib Complex                  , تجاري,"منطقة القصيم, بريدة",,,78901.0,59468.0,,0
النخلة مول بريدة – Al Nakhla Mall Buraidah                  , تجاري,"منطقة القصيم, بريدة",,,78901.0,59468.0,,0
مستشفى السلام – AL SALAM HOSPITAL                  , تجاري,"المنطقة الشرقية, الخبر",488000000.0,743.0,188521.0,598525.0,,1
مستشفى سند – Sanad Hospital                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مجمع جنات الرياض – JANNAT COMPOUND RIYADH                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مركز المعارض + المؤتمرات في مطار الملك خالد الدولي –...                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
برج العثمان الفندقي – Al Othman Tower                  , تجاري,"منطقة الرياض, الرياض",,527.0,732297.0,1159997.0,,0
مزدلفة مول – Muzdalifa Mall                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
جادة الجامعة – University Boulevard                  , تجاري,"منطقة الرياض, الرياض",,941.0,732297.0,1159997.0,,0
ديار السلام – Diyar Al Salam                  , تجاري,"منطقة مكة المكرمة, جدة",,1185.0,286456.0,477481.0,,0
حي جلمودة                  , تجاري,"المنطقة الشرقية, الجبيل",,,188521.0,598525.0,,0
أرض مكة                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
أبراج الحناكي السكنية                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
فندق دبل تري جازان – DoubleTree Hotel Jazan                  , تجاري,"منطقة جازان, جازان",,1461.0,52022.0,22115.0,,0
ستريب مول                  , تجاري,"المنطقة الشرقية, الخبر",40000000.0,,188521.0,598525.0,,0
أبراج بوابة التحلية                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
ميني بوليفار – Miniboulevard                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
حي تلال مكة                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
مقر هيئة تطوير المدينة المنورة – Madinah Development Authority Headq...                  , تجاري,"منطقة المدينة المنورة, المدينة المنورة",,,75446.0,74821.0,,0
فلل أسكوت الرياض – Ascott Villas Riyadh                  , تجاري,"منطقة الرياض, الرياض",,493.0,732297.0,1159997.0,,0
الياسمين مول – Yasmin Mall                  , تجاري,"منطقة مكة المكرمة, جدة",,1369.0,286456.0,477481.0,,0
توسعة النخيل مول – الرياض                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
زهرة مول – Zahra Mall                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
أبراج بكة – BAKKAH TOWER                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
أبراج كيه كيه                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
كليات الغد الدولية للعلوم الصحية التطبيقية بالرياض ̵...                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
كليات المعرفة – Almaarefa Colleges                  , تجاري,"منطقة الرياض, الدرعية",1500000000.0,,732297.0,1159997.0,,0
كورنيش الرياض                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
تاور تراس – Tower Terrace                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
ابراج ميراب الفندقية                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مشروع إسكان الأفراد والموظفين (القرية العمالية) بغرب ا�...                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
أبراج الإجابة – Ejaba Towers                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
مدينة مطار الملك عبدالعزيز الدولي                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
ميناء جدة الإسلامي                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
تطوير درب الخليل                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",7000000000.0,,286456.0,477481.0,,0
موفنبيك التحلية – Mövenpick Hotel                  , تجاري,"منطقة مكة المكرمة, جدة",,1063.0,286456.0,477481.0,,0
واحة الفنون –  Art Oasis                  , تجاري,"منطقة الرياض, الرياض",120000000.0,,732297.0,1159997.0,,0
مجمع عدن – EDEN                  , تجاري,"منطقة مكة المكرمة, جدة",80000000.0,1156.0,286456.0,477481.0,,1
أبراج كيلو 7 بجدة – Jeddah Kilo 7                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مقر الهيئة السعودية للمهندسين                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مركز النمر                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
الصحافة سنتر                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
التلال سنتر                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
اليرموك سنتر                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
جرير بلازا الرياض                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
آجا بلازا                  , تجاري,"منطقة حائل, حائل",,,43636.0,17276.0,,0
التعاون سكوير – AlTaawoun Square                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
الحسن سكوير                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
الثغر بلازا                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
عود ديونز                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
عود سكوير                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مستشفى AMC للرعاية الطبية طويلة الأمد – AMC Long-Term Medical Car...                  , تجاري,"منطقة الرياض, الرياض",400000000.0,577.0,732297.0,1159997.0,,1
مجمع سدرة للمطاعم – Sidra Mall Riyadh                  , تجاري,"منطقة الرياض, الرياض",,729.0,732297.0,1159997.0,,0
القرية الطبية بالرياض – Medical Village Riyadh                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
الوادي سكوير                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مول البساتين                  , تجاري,"منطقة الرياض, شقراء",,,732297.0,1159997.0,,0
المجمعة مول – Almajmaah Mall                  , تجاري,"منطقة الرياض, المجمعة",,985.0,732297.0,1159997.0,,0
منتجع كراون بلازا الخبر – Crowne Plaza Resort Al Khobar                    , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
فندق المدعج بالخبر                  , تجاري,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
دونز سنتر                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مركز 7060                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
الرويشد جراند مول – AL Roished Grand Mall                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مبنى تجاري مستدام                  , تجاري,"المنطقة الشرقية, الظهران",24000000.0,305.0,188521.0,598525.0,,1
جيتواي مول –  Gateway Mall                  , تجاري,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",,,286456.0,477481.0,,0
سكن منسوبي وزارة الحرس الوطني                  , تجاري,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",1500000000.0,,286456.0,477481.0,,1
راديسون بلو بريدة – Radisson Blu Buraidah                  , تجاري,"منطقة القصيم, بريدة",,,78901.0,59468.0,,0
مركز الأبحاث – Think Tank                  , ترفيهي/سياحي,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",,,286456.0,477481.0,,0
مركز التاله جاردينز الاجتماعي – Talah Gardens Community Center                  , ترفيهي/سياحي,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",,,286456.0,477481.0,,0
مجمع التكنولوجيا والثقافة – Technology and Culture Aggregator                  , ترفيهي/سياحي,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",,,286456.0,477481.0,,0
مدينة الطيار – Al Tayyar City                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
متحف سابك – Sabic Museum                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
المخيم البحري لشركة شيفرون – Saudi Chevron Beach Camp                  , ترفيهي/سياحي,"المنطقة الشرقية, الجبيل الصناعية",,699.0,188521.0,598525.0,,0
حلم أبها  –  The Dream of Abha                  , ترفيهي/سياحي,"منطقة عسير, أبها",,,77895.0,53929.0,,0
منتزه التلال – Tilal Park                  , ترفيهي/سياحي,"المنطقة الشرقية, الجبيل الصناعية",,2526.0,188521.0,598525.0,,0
ضاحية الحسينية – Al Husayniyah Subrub                  , ترفيهي/سياحي,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
قرية بريدة التراثية – Burydah Heritage Village                  , ترفيهي/سياحي,"منطقة القصيم, بريدة",7222359.0,765.0,78901.0,59468.0,,1
ردسي مول (التوسعة الثانية) – (Red Sea Mall (2nd Expansion                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,515.0,286456.0,477481.0,,0
لاغونا – Lagoona                  , ترفيهي/سياحي,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",18500000000.0,,286456.0,477481.0,,0
منتجعات شرما – Sharma Resorts                  , ترفيهي/سياحي,"منطقة تبوك, شرما",,,33731.0,22283.0,,0
اوبرا جدة – Jeddah Opera                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
قرية البحر الأحمر – Red Sea Village                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
القدية – Qiddiya                  , ترفيهي/سياحي,القدية,,,368638.28018867923,622155.975,,0
الجوهرة مول – ALJOHARAH MALL                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
تاون سكوير – Town Square                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,610.0,286456.0,477481.0,,0
مركز الترفيه العائلي – Family Entertainment Center                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
اجريت افينيو – Egret Avenue                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
القرية التراثية  – Historical Village                  , ترفيهي/سياحي,"منطقة الباحة, الباحة",35000000.0,,11185.0,6073.0,,0
مركز احتفالات طبرجل – Tabarjal Festival Center                  , ترفيهي/سياحي,"منطقة الجوف, طبرجل",,,19371.0,9482.0,,0
متحف الاحساء الإقليمي – Al Ahsa Museum                  , ترفيهي/سياحي,"المنطقة الشرقية, الأحساء",80000000.0,,188521.0,598525.0,,0
متحف الجوف الاقليمي – Al Jouf Regional Museum                  , ترفيهي/سياحي,"منطقة الجوف, دومة الجندل",37863000.0,2149.0,19371.0,9482.0,,1
متحف الباحة الإقليمي – Al Baha Museum                  , ترفيهي/سياحي,"منطقة الباحة, الباحة",30227953.0,,11185.0,6073.0,,0
مول برج جدة – Jeddah Tower Mall                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
منتجع عنيزة – Unaizah Resort                  , ترفيهي/سياحي,"منطقة القصيم, عنيزة",170000000.0,,78901.0,59468.0,,0
بيت الفن – Bayt Al Fann                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
المبنى الاخضر بينبع الصناعية – Yanbu Royal Commission Green Building...                  , ترفيهي/سياحي,"ينبع, منطقة المدينة المنورة",,,368638.28018867923,622155.975,,0
رويال غرينز – Royal Greens                  , ترفيهي/سياحي,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",147774605.0,3269.0,286456.0,477481.0,,1
حديقة الفيصليه بالطائف – Garden Faisaliah Taif                  , ترفيهي/سياحي,"منطقة مكة المكرمة, الطائف",21750000.0,,286456.0,477481.0,,1
المركز الحضاري الشرقي بمكة المكرمة                  , ترفيهي/سياحي,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
الواجهة البحرية بالحمراء – Hamra Waterfront                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",950000000.0,2054.0,286456.0,477481.0,,1
مركز ومدرسة الفنون بالدرعية – Addiriyah arts centre and art school...                  , ترفيهي/سياحي,"منطقة الرياض, الدرعية",80000000.0,,732297.0,1159997.0,,0
تطوير عرقة القديمة – Old Arqah Development                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
منتجع وسبا الثمامة –  Al Thumamah Resort and Spa                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
اليمامة ثقافة بارك – Yamamah Culture Park                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
منتجع رويال أمواج – Royal Amwaj Resort                  , ترفيهي/سياحي,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
ذا زون – The Zone                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,639.0,732297.0,1159997.0,,0
أجمكان – AJMAKAN                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
حديقة الشلال – AlShallal Theme Park                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,1552.0,286456.0,477481.0,,0
تيرا مول الطائف – Tera Mall Taif                  , ترفيهي/سياحي,"منطقة مكة المكرمة, الطائف",500000000.0,876.0,286456.0,477481.0,,1
فالي سنتر – Valley Centre                  , ترفيهي/سياحي,"منطقة مكة المكرمة, الطائف",,889.0,286456.0,477481.0,,0
الراقي افينيو مول                  , ترفيهي/سياحي,منطقة تبوك,,,33731.0,22283.0,,0
النخيل مول الدمام – Al Nakheel Mall Dammam                  , ترفيهي/سياحي,"المنطقة الشرقية, الدمام",,910.0,188521.0,598525.0,,0
العسكر افنيو مول – Al Askar Avenue Mall                  , ترفيهي/سياحي,"منطقة الرياض, الخرج",,,732297.0,1159997.0,,0
القويعية مول – AlQuwayiyah Mall                  , ترفيهي/سياحي,"منطقة الرياض, القويعية",,,732297.0,1159997.0,,0
الفارسي بلازا المونسية – AlFarsi Plaza-Al Munsiyah                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
منتجع سياحي – Tourist Complex                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
حديقة جمان – Juman Park                  , ترفيهي/سياحي,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",43500000.0,402.0,286456.0,477481.0,,1
الواحة مول  – Oasis Mall                  , ترفيهي/سياحي,"منطقة القصيم, الرس",,975.0,78901.0,59468.0,,0
لاغونا موتور بارك – Lagoona Motorpark                  , ترفيهي/سياحي,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",,385.0,286456.0,477481.0,,0
الرياض بروميناد – Riyadh Promenade                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
جادة الشفا – Alshefa Boulevard                  , ترفيهي/سياحي,"مكة المكرمة, الطائف",90000000.0,,286456.0,477481.0,,0
المركز الحضارى – Cultural Centre                  , ترفيهي/سياحي,"المنطقة الشرقية, حفر الباطن",55103493.0,,188521.0,598525.0,,0
جزر البندقية – Venice Island                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",1000000000.0,,286456.0,477481.0,,0
منتجع جزيرة ثول – Thuwal Island Resort                  , ترفيهي/سياحي,"منطقة مكة المكرمة, ثول",,,286456.0,477481.0,,0
متحف الأطفال التفاعلي – Children’s Interactive Museum                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
الحمراء جرووف – Al Hamra Groov                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
ضواحي مركز الملك عبدالله المالي – KAFD Enviros Development                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مشروع مضمار سباق في الخرج – Race Track Project                  , ترفيهي/سياحي,"منطقة الرياض, الخرج",,,732297.0,1159997.0,,0
الروابي بلازا – AL RAWABI PLAZA                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,150.0,732297.0,1159997.0,,0
أرينا بارك – Arena Park                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
لو جاردان دو الرياض – Le Jardin d’Eau Riyadh                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",33000000000.0,,732297.0,1159997.0,,0
يونيون سكوير الخبر – Union Square Al-Khobar                  , ترفيهي/سياحي,"المنطقة الشرقية, الخبر",,,188521.0,598525.0,,0
مجمع بلاتين سنتر  – Platinun Center Complex                  , ترفيهي/سياحي,"منطقة القصيم, بريدة",,793.0,78901.0,59468.0,,0
لولو مول الأحساء – Lulu Mall Al Ahsa                  , ترفيهي/سياحي,"المنطقة الشرقية, الأحساء",,1030.0,188521.0,598525.0,,0
واجهة التسوق –  Shopping Front                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,1095.0,732297.0,1159997.0,,0
افينيو مول ابحر – Avenue Mall Abhor                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
تطوير حي الدحو – Addoho Quarter Renewal                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مجمع مطاعم اورا – Aura Restaurants Complex                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مجمع مطاعم شاندلير – Chandelier Restaurants Complex                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مدينة الأحلام                  , ترفيهي/سياحي,"منطقة عسير, خميس مشيط",4000000000.0,,77895.0,53929.0,,0
نادي إزميرالدا – Esmeralda                  , ترفيهي/سياحي,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",,,286456.0,477481.0,,0
منتزه حافة العالم في الرياض                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
سنترال بارك الرياض – Riyadh Central Park                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
توسعة غرناطة مول – Granada Mall Extension                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",336000000.0,,732297.0,1159997.0,,1
مجمع العضيب – Alodhaib Complex                  , ترفيهي/سياحي,"منطقة القصيم, بريدة",,,78901.0,59468.0,,0
النخلة مول بريدة – Al Nakhla Mall Buraidah                  , ترفيهي/سياحي,"منطقة القصيم, بريدة",,,78901.0,59468.0,,0
مجمع جنات الرياض – JANNAT COMPOUND RIYADH                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مركز المعارض + المؤتمرات في مطار الملك خالد الدولي –...                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مزدلفة مول – Muzdalifa Mall                  , ترفيهي/سياحي,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
جادة الجامعة – University Boulevard                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,941.0,732297.0,1159997.0,,0
الياسمين مول – Yasmin Mall                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,1369.0,286456.0,477481.0,,0
توسعة النخيل مول – الرياض                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
زهرة مول – Zahra Mall                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
كورنيش الرياض                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مدينة مطار الملك عبدالعزيز الدولي                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
تطوير الهدا                  , ترفيهي/سياحي,"منطقة مكة المكرمة, الطائف",,,286456.0,477481.0,,0
حديقة الجبيل الإقليمية                  , ترفيهي/سياحي,"المنطقة الشرقية, الجبيل",,,188521.0,598525.0,,0
واحة الفنون –  Art Oasis                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",120000000.0,,732297.0,1159997.0,,0
مركز الملك عبدالعزيز التاريخي                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
معرض القرآن الكريم                  , ترفيهي/سياحي,"منطقة المدينة المنورة, المدينة المنورة",,,75446.0,74821.0,,0
منتزة سلام                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مجمع سدرة للمطاعم – Sidra Mall Riyadh                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,729.0,732297.0,1159997.0,,0
متحف العلا و المركز الثقافي                  , ترفيهي/سياحي,"منطقة المدينة المنورة, العلا",,,75446.0,74821.0,,0
مول البساتين                  , ترفيهي/سياحي,"منطقة الرياض, شقراء",,,732297.0,1159997.0,,0
المجمعة مول – Almajmaah Mall                  , ترفيهي/سياحي,"منطقة الرياض, المجمعة",,985.0,732297.0,1159997.0,,0
دونز سنتر                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
الرويشد جراند مول – AL Roished Grand Mall                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
جيتواي مول –  Gateway Mall                  , ترفيهي/سياحي,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",,,286456.0,477481.0,,0
متحف جازان الإقليمي                  , ترفيهي/سياحي,"منطقة جازان, جازان",,,52022.0,22115.0,,0
بارك إن باي راديسون الدمام المدينة الصناعية – Park Inn by...                  , ترفيهي/سياحي,"المنطقة الشرقية, الدمام",,1360.0,188521.0,598525.0,,0
واحة الخبر                  , ترفيهي/سياحي,"المنطقة الشرقية, الخبر",,759.0,188521.0,598525.0,,0
برج مياه خميس مشيط                  , ترفيهي/سياحي,"منطقة عسير, خميس مشيط",102288760.0,,77895.0,53929.0,,1
منتجع ميراج سيتي                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",39000000.0,,732297.0,1159997.0,,0
جوهرة هلا مول                  , ترفيهي/سياحي,"المنطقة الشرقية, حفر الباطن",165000000.0,,188521.0,598525.0,,0
مركز الملك عبدالله الحضاري في الأحساء                  , ترفيهي/سياحي,"المنطقة الشرقية, الأحساء",250000000.0,1461.0,188521.0,598525.0,,1
سوق المجلس -عنيزة                  , ترفيهي/سياحي,"منطقة القصيم, عنيزة",110000000.0,,78901.0,59468.0,,0
تصميم مقترح لمشروع منتجع فندقي بكورنيش جدة                  , ترفيهي/سياحي,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
المركز الحضارى بالقريات                  , ترفيهي/سياحي,"منطقة الجوف, القريات",,,19371.0,9482.0,,0
مجمع نادي منسوبي الحرس الوطني بالرياض                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,365.0,732297.0,1159997.0,,0
مجمع الضيافة                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,609.0,732297.0,1159997.0,,0
مركز معارض الرياض الدولي                  , ترفيهي/سياحي,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
ميدان الملك سلمان – الدرعية                  , ترفيهي/سياحي,"منطقة الرياض, الدرعية",,,732297.0,1159997.0,,0
